item;qtd_cx
PG24LP261SDW0;100
91102110102;0
PG24LP262SDA0;0
PG24LP262SDC0;0
PG24LP262SDG0;0
PG24LP262SDH0;0
PG24LP262SDI0;0
PG24LP262SDM0;0
PG24LP262SDP0;0
PG24LP262SDW0;0
91102110103;0
PG24LP263SDA0;0
PG24LP263SDC0;0
PG24LP263SDG0;0
PG24LP263SDH0;0
PG24LP263SDI0;0
PG24LP263SDM0;0
PG24LP263SDP0;0
PG24LP263SDW0;0
91102110104;0
PG24LP264SDA0;10
PG24LP264SDC0;10
PG24LP264SDG0;10
PG24LP264SDH0;10
81101068801;0
PG24LD335EL01;0
81101078801;0
PG24LD335EL01;0
81101089201;0
PG24LD335EL01;0
81101099201;0
PG24LD335EL01;0
81101109201;0
PG24LD335EL01;0
81101119301;0
PG24LD335EL01;0
81101129301;0
PG24LD335EL01;0
81101139301;0
PG24LD335EL01;0
81101149301;0
PG24LD335EL01;0
81101174801;0
PG23LA335SDH0;65
81101174701;0
PG23LA335SDM0;34
81101174601;0
PG23LA335SDF0;43
81101174501;0
PG23LA335SDW2;42
81101174401;0
PG23LA335SDW1;45
81101174301;0
PG23LA335SDS2;32
81101174201;0
PG23LA335SDS1;30
81101174101;0
PG23LA335SDA2;19
81101174001;25
PG23LA335SDA1;19
81101173901;0
PG23LA335SDE2;23
81102178101;0
PG23LP336SDB0;80
81102178103;0
PG23LP337SDB0;60
91101177801;0
PG23LA335DBH0;65
91101177901;45
PG23LA335DBM0;34
91101178001;43
PG23LA335DBF0;43
91101178101;0
PG23LA335DBW2;42
91101178201;0
PG23LA335DBW1;45
91101178301;0
PG23LA335DBS2;32
91101178401;0
PG23LA335DBS1;27
91101178501;0
PG23LA335DBA2;23
91101178601;23
PG23LA335DBA1;19
91101178701;0
PG23LA335DBE2;23
91101178801;23
PG23LA335DBE1;23
91101179401;0
PG23LA336DBC0;54
91101179403;0
81101220101;0
PG22AA115SD00;20
81101230101;0
PG22AA215SD00;30
81101240101;0
PG22AA315SD00;30
81101890101;0
PG24LA411SD00;5
81101890102;0
PG24LA412SD00;5
81101890103;0
PG24LA413SD00;5
81101890104;0
PG24LA414SD01;0
PG24LA414SD02;0
PG24LA311SD02;7
PG24LA312SD02;7
PG23LA152MA00;0
PG23FA152SD00;0
81101052102;0
PG23LA153MA00;0
PG23FA153SD00;0
81101052104;0
PG23LA154MA00;0
PG23FA154SD00;0
81101052501;0
PG23LA151IN00;0
PG23FA151SD00;0
PG22MA155SD00;0
PG23PA155SD00;0
PG23SA155SD01;0
PG23SA155SD02;0
81101052502;0
PG23LA152IN00;0
PG23FA152SD00;0
81101052502;0
PG23LA153IN00;0
PG23FA153SD00;0
81101052504;0
PG23LA154IN00;0
PG23FA154SD00;0
81101052601;0
PG23LA151FO00;0
PG23FA151SD00;0
PG22MA155SD00;0
PG23PA155SD00;0
PG23SA155SD01;0
PG23SA155SD02;0
81101052602;0
PG23LA152FO00;0
PG23FA152SD00;0
81101052602;0
PG23LA153FO00;0
PG23FA153SD00;0
81101052604;0
PG23LA154FO00;0
PG23FA154SD00;0
81101052701;0
PG23LA151FL00;0
PG23FA151SD00;0
PG22MA155SD00;0
PG23PA155SD00;0
PG23SA155SD01;0
PG23SA155SD02;0
81101052702;0
PG23LA152FL00;0
PG23FA152SD00;0
81101052702;0
PG23LA153FL00;0
PG23FA153SD00;0
81101052704;0
PG23LA154FL00;0
PG23FA154SD00;0
81101052801;0
PG23LA151RO00;0
PG23FA151SD00;0
PG22MA155SD00;0
PG23PA155SD00;0
PG23SA155SD01;0
PG23SA155SD02;0
81101052802;0
PG23LA152RO00;0
PG23FA152SD00;0
81101052802;0
PG23LA153RO00;0
PG23FA153SD00;0
81101052804;0
PG23LA154RO00;0
PG23FA154SD00;0
81101052901;0
PG23LA151GA00;0
PG23FA151SD00;0
PG22MA155SD00;0
PG23PA155SD00;0
PG23SA155SD01;0
PG23SA155SD02;0
81101052902;0
PG23LA152GA00;0
PG23FA152SD00;0
81101052902;0
PG23LA153GA00;0
PG23FA153SD00;0
81101052904;0
PG23LA154GA00;0
PG23FA154SD00;0
81101059201;0
PG24LA155SDIA;0
81101059301;27
PG22CA215SDM2;27
81101059401;24
PG22CA215SDP2;24
81101059501;0
9786557980569;145
9786557980729;80
9786557980927;60
9786557980989;100
81101059601;0
PG22CA155SDM1;26
PG24LD155SD00;0
81101500101;0
PG24LD215SD00;0
81101510101;0
PG24LD225SD00;0
81101520101;0
PG24LD235SD00;0
81101530101;0
PG24LD245SD00;0
81101540101;0
PG24LD255SD00;0
81101550101;0
PG24LD265SD00;0
81101560101;0
PG24LD275SD00;0
81101570101;0
PG24LD285SD00;0
81101580101;0
PG24LD295SD00;0
81101590101;0
PG24LD315SD00;0
81101600101;0
PG24LD325SD00;0
81101610101;0
PG24LD415SD00;0
81101620101;0
PG25LA126MJ00;11
PG22MA125SD00;0
PG25SA125SD00;0
PG25TA125SD00;45
PG22BA125SD00;55
82101020702;0
PG25LA127MJ00;0
82101020801;8
PG25LA126ZA00;11
PG22MA125SD00;0
PG25SA125SD00;0
PG25TA125SD00;45
PG22BA125SD00;55
82101020802;0
PG25LA127ZA00;0
82101020901;8
PG25LA126RV00;11
PG22MA125SD00;0
PG25SA125SD00;0
PG25TA125SD00;45
PG22BA125SD00;55
82101020902;0
PG25LA127RV00;0
82101021001;11
PG25LA126SE00;11
PG22MA125SD00;0
PG25SA125SD00;0
PG25TA125SD00;45
PG22BA125SD00;55
82101021002;0
PG25LA127SE00;17
82101021101;8
PG25LA126ST00;11
PG22MA125SD00;0
PG25SA125SD00;0
PG25TA125SD00;45
PG22BA125SD00;55
82101021102;0
PG25LA127ST00;0
82101030101;7
PG25LA136SD00;10
PG22MA135SD00;0
PG25SA135SD00;7
PG25TA135SD00;45
PG22BA135SD00;55
82101030102;0
PG25LA137SD00;13
82101039901;30
PG22LA135SDI0;35
82101039601;13
9786557980316;80
9786557980637;0
9786557980965;80
9786557980996;70
82101300601;17
9786557980316;80
9786557980637;0
9786557980996;70
82102030101;5
PG25LP136SD00;5
PG22MP135SD00;5
PG22SP135SD00;5
PG22IP135SD00;5
PG22KP135SD0D;5
PG22YP135SD0D;5
PG22KP135SD0M;5
PG22YP135SD0M;5
82102030102;12
PG25LP137SD00;12
82102039901;0
PG22LP135SDI0;31
82101030201;7
PG25LA136ZU00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101030202;0
PG25LA137ZU00;13
92101030101;7
PG25LA136DB00;10
PG23MA135DB00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG25TA135SD00;45
PG22BA135SD00;55
82101030502;17
